set phase shift [degree],actual phase shift [degree],Tuned,Delta
30,174.4,-5.6,-35.6
30,175.1,-4.9,-34.9
30,173.7,-6.3,-36.3
60,177.1,-2.9,-62.9
60,176.1,-3.9,-63.9
60,177,-3,-63
90,179.1,-0.9,-90.9
90,178.3,-1.7,-91.7
90,178.6,-1.4,-91.4
120,-171.3,8.7,-111.3
120,-170.7,9.3,-110.7
120,-172.9,7.1,-112.9
150,-19.3,-19.3,-169.3
150,-19.42,-19.42,-169.42
150,-18.82,-18.82,-168.82
180,-11.81,-11.81,-191.81
180,-11.97,-11.97,-191.97
180,-12.38,-12.38,-192.38
210,-8.215,-8.215,-218.215
210,-8.496,-8.496,-218.496
210,-8.51,-8.51,-218.51
240,-6.202,-6.202,-246.202
240,-5.024,-5.024,-245.024
240,-5.04,-5.04,-245.04
270,-3.307,-3.307,-273.307
270,-3.312,-3.312,-273.312
270,-5.184,-5.184,-275.184
300,-1.297,-1.297,-301.297
300,-1.589,-1.589,-301.589
300,-2.456,-2.456,-302.456
330,171.2,-8.8,-338.8
330,171.9,-8.1,-338.1
330,169.1,-10.9,-340.9
