거리(cm),홀전압(mV),두께(cm)
0.25,11,
0.25,10.4,
0.25,9.81,
0.25,8.78,
0.25,9.67,
0.5,8.65,
0.5,8.32,
0.5,9.43,
0.5,8.29,
0.5,8.07,
1,7.61,
1,7.21,
1,7.56,
1,7.37,
1,7.31,
1.5,7.42,
1.5,8.29,
1.5,7.57,
1.5,7.25,
1.5,6.34,
2,7.71,
2,8.04,
2,7.44,
2,6.81,
2,7.84,
3,6.68,
3,7.07,
3,6.48,
3,7.8,
3,7.75,
4,7.99,
4,6.67,
4,6.01,
4,7.75,
4,6.89,
5,6.57,
5,6.93,
5,7.99,
5,5.58,
5,7.88,
6,8.22,
6,7.32,
6,8.03,
6,7.65,
6,6.75,
7,6.26,
7,6.96,
7,6.06,
7,6.84,
7,6.74,
8,5.83,
8,6.16,
8,6.31,
8,5.82,
8,7.5,
9,6.12,
9,6.94,
9,6.74,
9,6.09,
9,7.8,
10,6.81,
10,5.81,
10,7.5,
10,6.81,
10,6.63,
